基隆舊站逐時潮位觀測資料
位置：基隆港
儀器型式：
基準面相對KP:
yyyymmddhh：西元年月日時
height：潮位
潮高單位：公厘；潮高空白或時間不連續，表示缺觀測資料。
時間：民國69年1月－民國69年12月
**************************
*st    yyyymmddhh height
1512   1980012212  1050 Q
1512   1980012213  1110 Q
1512   1980012214  1080 Q
1512   1980012215  1030 Q
1512   1980012216   890 Q
1512   1980012217   770 Q
1512   1980012218   680 Q
1512   1980012219   630 Q
1512   1980012220   640 Q
1512   1980012221   690 Q
1512   1980012222   770 Q
1512   1980012223   860 Q
1512   1980012300   930 Q
1512   1980012301   940 Q
1512   1980012302   890 Q
1512   1980012303   800 Q
1512   1980012304   660 Q
1512   1980012305   500 Q
1512   1980012306   390 Q
1512   1980012307   350 Q
1512   1980012308   370 Q
1512   1980012309   450 Q
1512   1980012310   600 Q
1512   1980012311   750 Q
1512   1980012312   910 Q
1512   1980012313  1050 Q
1512   1980012314  1100 Q
1512   1980012315  1040 Q
1512   1980012316   950 Q
1512   1980012317   800 Q
1512   1980012318   680 Q
1512   1980012319   590 Q
1512   1980012320   530 Q
1512   1980012321   530 Q
1512   1980012322   580 Q
1512   1980012323   670 Q
1512   1980012400   780 Q
1512   1980012401   860 Q
1512   1980012402   910 Q
1512   1980012403   910 Q
1512   1980012404   850 Q
1512   1980012405   730 Q
1512   1980012406   620 Q
1512   1980012407   560 Q
1512   1980012408   520 Q
1512   1980012409   510 Q
1512   1980012410   580 Q
1512   1980012411   700 Q
1512   1980012412   850 Q
1512   1980012413  1000 Q
1512   1980012414  1100 Q
1512   1980012415  1130 Q
1512   1980012416  1090 Q
1512   1980012417   970 Q
1512   1980012418   820 Q
1512   1980012419   690 Q
1512   1980012420   580 Q
1512   1980012421   520 Q
1512   1980012422   510 Q
1512   1980012423   560 Q
1512   1980012500   660 Q
1512   1980012501   770 Q
1512   1980012502   860 Q
1512   1980012503   920 Q
1512   1980012504   950 Q
1512   1980012505   930 Q
1512   1980012506   850 Q
1512   1980012507   770 Q
1512   1980012508   690 Q
1512   1980012509   660 Q
1512   1980012510   640 Q
1512   1980012511   680 Q
1512   1980012512   780 Q
1512   1980012513   910 Q
1512   1980012514  1020 Q
1512   1980012515  1090 Q
1512   1980012516  1120 Q
1512   1980012517  1070 Q
1512   1980012518   940 Q
1512   1980012519   790 Q
1512   1980012520   640 Q
1512   1980012521   520 Q
1512   1980012522   430 Q
1512   1980012523   400 Q
1512   1980012600   440 Q
1512   1980012601   550 Q
1512   1980012602   690 Q
1512   1980012603   810 Q
1512   1980012604   930 Q
1512   1980012605  1020 Q
1512   1980012606  1050 Q
1512   1980012607   970 Q
1512   1980012608   910 Q
1512   1980012609   840 Q
1512   1980012610   780 Q
1512   1980012611   750 Q
1512   1980012612   750 Q
1512   1980012613   800 Q
1512   1980012614   900 Q
1512   1980012615  1010 Q
1512   1980012616  1060 Q
1512   1980012617  1090 Q
1512   1980012618  1060 Q
1512   1980012619   950 Q
1512   1980012620   790 Q
1512   1980012621   640 Q
1512   1980012622   520 Q
1512   1980012623   430 Q
1512   1980012700   390 Q
1512   1980012701   430 Q
1512   1980012702   540 Q
1512   1980012703   690 Q
1512   1980012704   820 Q
1512   1980012705   960 Q
1512   1980012706  1070 Q
1512   1980012707  1130 Q
1512   1980012708  1080 Q
1512   1980012709  1030 Q
1512   1980012710   940 Q
1512   1980012711   890 Q
1512   1980012712   840 Q
1512   1980012713   830 Q
1512   1980012714   880 Q
1512   1980012715   970 Q
1512   1980012716  1040 Q
1512   1980012717  1080 Q
1512   1980012718  1070 Q
1512   1980012719  1040 Q
1512   1980012720   940 Q
1512   1980012721   770 Q
1512   1980012722   620 Q
1512   1980012723   490 Q
1512   1980012800   410 Q
1512   1980012801   380 Q
1512   1980012802   450 Q
1512   1980012803   580 Q
1512   1980012804   730 Q
1512   1980012805   890 Q
1512   1980012806  1050 Q
1512   1980012807  1150 Q
1512   1980012808  1210 Q
1512   1980012809  1210 Q
1512   1980012810  1150 Q
1512   1980012811  1050 Q
1512   1980012812   980 Q
1512   1980012813   940 Q
1512   1980012814   920 Q
1512   1980012815   940 Q
1512   1980012816  1000 Q
1512   1980012817  1050 Q
1512   1980012818  1080 Q
1512   1980012819  1080 Q
1512   1980012820  1030 Q
1512   1980012821   930 Q
1512   1980012822   760 Q
1512   1980012823   620 Q
1512   1980012900   500 Q
1512   1980012901   430 Q
1512   1980012902   440 Q
1512   1980012903   520 Q
1512   1980012904   660 Q
1512   1980012905   860 Q
1512   1980012906  1020 Q
1512   1980012907  1180 Q
1512   1980012908  1300 Q
1512   1980012909  1370 Q
1512   1980012910  1360 Q
1512   1980012911  1290 Q
1512   1980012912  1210 Q
1512   1980012913  1140 Q
1512   1980012914  1070 Q
1512   1980012915  1060 Q
1512   1980012916  1100 Q
1512   1980012917  1180 Q
1512   1980012918  1220 Q
1512   1980012919  1230 Q
1512   1980012920  1190 Q
1512   1980012921  1100 Q
1512   1980012922   970 Q
1512   1980012923   800 Q
1512   1980013000   630 Q
1512   1980013001   520 Q
1512   1980013002   450 Q
1512   1980013003   490 Q
1512   1980013004   610 Q
1512   1980013005   760 Q
1512   1980013006   960 Q
1512   1980013007  1130 Q
1512   1980013008  1280 Q
1512   1980013009  1370 Q
1512   1980013010  1380 Q
1512   1980013011  1320 Q
1512   1980013012  1240 Q
1512   1980013013  1170 Q
1512   1980013014  1090 Q
1512   1980013015  1020 Q
1512   1980013016  1080 Q
1512   1980013017  1140 Q
1512   1980013018  1200 Q
1512   1980013019  1220 Q
1512   1980013020  1180 Q
1512   1980013021  1100 Q
1512   1980013022   970 Q
1512   1980013023   790 Q
1512   1980013100   630 Q
1512   1980013101   480 Q
1512   1980013102   370 Q
1512   1980013103   360 Q
1512   1980013104   360 Q
1512   1980013105   430 Q
1512   1980013106   540 Q
1512   1980013107   690 Q
1512   1980013108   850 Q
1512   1980013109  1020 Q
1512   1980013110  1100 Q
1512   1980013111  1070 Q
1512   1980013112   950 Q
1512   1980013113   870 Q
1512   1980013114   780 Q
1512   1980013115   720 Q
1512   1980013116   700 Q
1512   1980013117   730 Q
1512   1980013118   770 Q
1512   1980013119   820 Q
1512   1980013120   860 Q
1512   1980013121   860 Q
1512   1980013122   790 Q
1512   1980013123   670 Q
1512   1980020100   510 Q
1512   1980020101   340 Q
1512   1980020102   200 Q
1512   1980020103   130 Q
1512   1980020104   140 Q
1512   1980020105   250 Q
1512   1980020106   370 Q
1512   1980020107   510 Q
1512   1980020108   690 Q
1512   1980020109   880 Q
1512   1980020110   980 Q
1512   1980020111  1030 Q
1512   1980020112  1010 Q
1512   1980020113   930 Q
1512   1980020114   840 Q
1512   1980020115   770 Q
1512   1980020116   750 Q
1512   1980020117   760 Q
1512   1980020118   810 Q
1512   1980020119   880 Q
1512   1980020120   940 Q
1512   1980020121   960 Q
1512   1980020122   900 Q
1512   1980020123   840 Q
1512   1980020200   690 Q
1512   1980020201   550 Q
1512   1980020202   400 Q
1512   1980020203   300 Q
1512   1980020204   270 Q
1512   1980020205   330 Q
1512   1980020206   470 Q
1512   1980020207   620 Q
1512   1980020208   810 Q
1512   1980020209   910 Q
1512   1980020210  1020 Q
1512   1980020211  1070 Q
1512   1980020212  1070 Q
1512   1980020213  1030 Q
1512   1980020214   920 Q
1512   1980020215   840 Q
1512   1980020216   800 Q
1512   1980020217   800 Q
1512   1980020218   830 Q
1512   1980020219   880 Q
1512   1980020220   930 Q
1512   1980020221   970 Q
1512   1980020222   970 Q
1512   1980020223   920 Q
1512   1980020300   820 Q
1512   1980020301   650 Q
1512   1980020302   470 Q
1512   1980020303   330 Q
1512   1980020304   300 Q
1512   1980020305   320 Q
1512   1980020306   390 Q
1512   1980020307   510 Q
1512   1980020308   640 Q
1512   1980020309   790 Q
1512   1980020310   920 Q
1512   1980020311  1050 Q
1512   1980020312  1080 Q
1512   1980020313  1070 Q
1512   1980020314  1000 Q
1512   1980020315   890 Q
1512   1980020316   820 Q
1512   1980020317   790 Q
1512   1980020318   790 Q
1512   1980020319   830 Q
1512   1980020320   890 Q
1512   1980020321   950 Q
1512   1980020322  1010 Q
1512   1980020323   960 Q
1512   1980020400   910 Q
1512   1980020401   820 Q
1512   1980020402   680 Q
1512   1980020403   520 Q
1512   1980020404   440 Q
1512   1980020405   410 Q
1512   1980020406   450 Q
1512   1980020407   560 Q
1512   1980020408   720 Q
1512   1980020409   850 Q
1512   1980020410  1040 Q
1512   1980020411  1120 Q
1512   1980020412  1180 Q
1512   1980020413  1180 Q
1512   1980020414  1100 Q
1512   1980020415   980 Q
1512   1980020416   900 Q
1512   1980020417   850 Q
1512   1980020418   820 Q
1512   1980020419   850 Q
1512   1980020420   890 Q
1512   1980020421   950 Q
1512   1980020422  1000 Q
1512   1980020423  1060 Q
1512   1980020500  1040 Q
1512   1980020501   870 Q
1512   1980020502   760 Q
1512   1980020503   630 Q
1512   1980020504   520 Q
1512   1980020505   460 Q
1512   1980020506   480 Q
1512   1980020507   550 Q
1512   1980020508   670 Q
1512   1980020509   780 Q
1512   1980020510   890 Q
1512   1980020511  1010 Q
1512   1980020512  1040 Q
1512   1980020513  1040 Q
1512   1980020514   970 Q
1512   1980020515   870 Q
1512   1980020516   780 Q
1512   1980020517   690 Q
1512   1980020518   640 Q
1512   1980020519   620 Q
1512   1980020520   650 Q
1512   1980020521   710 Q
1512   1980020522   770 Q
1512   1980020523   830 Q
1512   1980020600   830 Q
1512   1980020601   770 Q
1512   1980020602   680 Q
1512   1980020603   580 Q
1512   1980020604   490 Q
1512   1980020605   410 Q
1512   1980020606   370 Q
1512   1980020607   380 Q
1512   1980020608   440 Q
1512   1980020609   540 Q
1512   1980020610   650 Q
1512   1980020611   780 Q
1512   1980020612   880 Q
1512   1980020613   960 Q
1512   1980020614   970 Q
1512   1980020615   890 Q
1512   1980020616   800 Q
1512   1980020617   710 Q
1512   1980020618   630 Q
1512   1980020619   600 Q
1512   1980020620   600 Q
1512   1980020621   640 Q
1512   1980020622   700 Q
1512   1980020623   760 Q
1512   1980020700   820 Q
1512   1980020701   850 Q
1512   1980020702   820 Q
1512   1980020703   770 Q
1512   1980020704   690 Q
1512   1980020705   610 Q
1512   1980020706   570 Q
1512   1980020707   540 Q
1512   1980020708   550 Q
1512   1980020709   620 Q
1512   1980020710   690 Q
1512   1980020711   810 Q
1512   1980020712   880 Q
1512   1980020713   950 Q
1512   1980020714  1000 Q
1512   1980020715   950 Q
1512   1980020716   890 Q
1512   1980020717   790 Q
1512   1980020718   700 Q
1512   1980020719   630 Q
1512   1980020720   610 Q
1512   1980020721   630 Q
1512   1980020722   680 Q
1512   1980020723   750 Q
1512   1980020800   820 Q
1512   1980020801   860 Q
1512   1980020802   870 Q
1512   1980020803   840 Q
1512   1980020804   800 Q
1512   1980020805   740 Q
1512   1980020806   690 Q
1512   1980020807   640 Q
1512   1980020808   610 Q
1512   1980020809   640 Q
1512   1980020810   700 Q
1512   1980020811   780 Q
1512   1980020812   860 Q
1512   1980020813   930 Q
1512   1980020814   970 Q
1512   1980020815   960 Q
1512   1980020816   900 Q
1512   1980020817   800 Q
1512   1980020818   690 Q
1512   1980020819   600 Q
1512   1980020820   510 Q
1512   1980020821   460 Q
1512   1980020822   460 Q
1512   1980020823   520 Q
1512   1980020900   600 Q
1512   1980020901   680 Q
1512   1980020902   740 Q
1512   1980020903   770 Q
1512   1980020904   780 Q
1512   1980020905   740 Q
1512   1980020906   690 Q
1512   1980020907   650 Q
1512   1980020908   580 Q
1512   1980020909   550 Q
1512   1980020910   580 Q
1512   1980020911   630 Q
1512   1980020912   710 Q
1512   1980020913   780 Q
1512   1980020914   830 Q
1512   1980020915   860 Q
1512   1980020916   820 Q
1512   1980020917   750 Q
1512   1980020918   650 Q
1512   1980020919   540 Q
1512   1980020920   440 Q
1512   1980020921   370 Q
1512   1980020922   340 Q
1512   1980020923   360 Q
1512   1980021000   430 Q
1512   1980021001   530 Q
1512   1980021002   630 Q
1512   1980021003   720 Q
1512   1980021004   790 Q
1512   1980021005   810 Q
1512   1980021006   790 Q
1512   1980021007   750 Q
1512   1980021008   700 Q
1512   1980021009   640 Q
1512   1980021010   610 Q
1512   1980021011   620 Q
1512   1980021012   660 Q
1512   1980021013   720 Q
1512   1980021014   790 Q
1512   1980021015   840 Q
1512   1980021016   860 Q
1512   1980021017   850 Q
1512   1980021018   790 Q
1512   1980021019   680 Q
1512   1980021020   550 Q
1512   1980021021   430 Q
1512   1980021022   370 Q
1512   1980021023   300 Q
1512   1980021100   280 Q
1512   1980021101   380 Q
1512   1980021102   500 Q
1512   1980021103   630 Q
1512   1980021104   740 Q
1512   1980021105   830 Q
1512   1980021106   890 Q
1512   1980021107   890 Q
1512   1980021108   870 Q
1512   1980021109   820 Q
1512   1980021110   780 Q
1512   1980021111   730 Q
1512   1980021112   680 Q
1512   1980021113   710 Q
1512   1980021114   750 Q
1512   1980021115   790 Q
1512   1980021116   830 Q
1512   1980021117   850 Q
1512   1980021118   820 Q
1512   1980021119   770 Q
1512   1980021120   660 Q
1512   1980021121   520 Q
1512   1980021122   390 Q
1512   1980021123   290 Q
1512   1980021200   250 Q
1512   1980021201   280 Q
1512   1980021202   400 Q
1512   1980021203   520 Q
1512   1980021204   670 Q
1512   1980021205   800 Q
1512   1980021206   900 Q
1512   1980021207   960 Q
1512   1980021208  1000 Q
1512   1980021209   950 Q
1512   1980021210   890 Q
1512   1980021211   820 Q
1512   1980021212   760 Q
